City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,alice springs,-23.7,133.8833,20.75,37,0,5.66,AU,1682210971
83,adamstown,-25.066,-130.1015,23.21,96,100,7.82,PN,1682210971
84,plouzane,48.3833,-4.6167,12.18,94,100,5.66,FR,1682210972
85,mabaruma,8.2,-59.7833,23.36,96,100,1.15,GY,1682210972
86,sao jose da coroa grande,-8.8978,-35.1478,25.95,79,82,4.99,BR,1682210972
87,likasi,-10.9814,26.7333,16.27,97,96,1.38,CD,1682210972
88,marau,-28.4492,-52.2,13.16,77,0,1.99,BR,1682210972
89,atafu village,-8.5421,-172.5159,29.02,74,100,4.15,TK,1682210972
90,ifrane,33.3333,-5.25,9.88,58,91,1.08,MA,1682210972
91,nogliki,51.8333,143.1667,-0.46,92,100,7.71,RU,1682210972
92,indramayu,-6.3264,108.32,28.16,78,74,3.71,ID,1682210973
93,chonchi,-42.6128,-73.8092,8.56,94,17,0.74,CL,1682210973
94,tutoia,-2.7619,-42.2744,25.7,87,100,3.85,BR,1682210973
95,kodiak,57.79,-152.4072,12.73,24,20,5.66,US,1682210973
96,byron bay,-28.65,153.6167,22.62,61,99,8.44,AU,1682210973
97,whangarei,-35.7317,174.3239,21.04,62,0,2.84,NZ,1682210964
98,papatowai,-46.5619,169.4708,18.12,64,100,6.96,NZ,1682210973
99,margaret river,-33.95,115.0667,19.51,50,1,1.8,AU,1682210973
100,minas de marcona,-15.2119,-75.1103,18.34,72,0,3.61,PE,1682210974
101,charters towers,-20.1,146.2667,26.22,53,77,8.18,AU,1682210974
102,iqaluit,63.7506,-68.5145,-1.15,100,100,7.72,CA,1682210974
103,thinadhoo,0.5333,72.9333,28.82,72,41,2.29,MV,1682210974
104,ribeira grande,38.5167,-28.7,17.65,96,100,8.94,PT,1682210974
105,'ain el turk,35.7438,-0.7693,15.38,67,40,1.03,DZ,1682210975
106,vila franca do campo,37.7167,-25.4333,17.23,96,100,6.98,PT,1682210975
107,college,64.8569,-147.8028,-4.03,56,75,8.75,US,1682210762
108,wewak,-3.5534,143.6268,28.96,72,13,2.19,PG,1682210975
109,ulsteinvik,62.3432,5.8487,6.61,76,100,6.26,NO,1682210975
110,pisco,-13.7,-76.2167,24.03,69,0,5.66,PE,1682210975
111,tateyama,34.9833,139.8667,12.39,69,100,7.6,JP,1682210975
112,gilgit,35.9221,74.3087,6.78,35,0,3.07,PK,1682210975
113,udachny,66.4167,112.4,-3.64,53,100,3.49,RU,1682210975
114,camalu,30.85,-116.0667,20.13,54,0,2.64,MX,1682210780
115,klyuchi,52.2667,79.1667,2.71,64,100,3.93,RU,1682210975
116,lompoc,34.6391,-120.4579,22.05,79,75,14.75,US,1682210976
117,pong,19.1493,100.2752,28.8,53,0,0.39,TH,1682210976
118,sultanah,24.4926,39.5857,27.25,26,0,1.54,SA,1682210976
119,bandon,51.7469,-8.7425,7.77,94,100,3.02,IE,1682210815
120,mournies,35.4764,24.0092,16.57,82,72,0.13,GR,1682210976
121,st. john's,47.5649,-52.7093,3.21,97,100,11.62,CA,1682210929
122,tamanrasset,22.785,5.5228,18.95,14,0,2.06,DZ,1682210976
123,uturoa,-16.7333,-151.4333,28.11,79,53,9.53,PF,1682210976
124,viveiro,43.6623,-7.5934,15.13,87,88,8.69,ES,1682210976
125,bintulu,3.1667,113.0333,27.23,94,20,0.0,MY,1682210976
126,aasiaat,68.7098,-52.8699,-1.98,96,100,3.32,GL,1682210977
127,alofi,-19.0595,-169.9187,27.94,61,43,6.17,NU,1682210977
128,spittal an der drau,46.8,13.5,10.48,97,51,1.55,AT,1682210977
129,cascais,38.6979,-9.4215,15.84,86,70,4.47,PT,1682210977
130,baoding,38.8511,115.4903,11.01,59,100,1.56,CN,1682210775
131,fortuna,40.5982,-124.1573,17.74,76,21,0.89,US,1682210977
132,quellon,-43.1167,-73.6167,8.14,100,75,0.0,CL,1682210862
133,alesund,62.4723,6.1549,6.61,75,75,13.38,NO,1682210977
134,carnarvon,-24.8667,113.6333,24.69,44,84,2.41,AU,1682210977
135,greystones,53.1408,-6.0631,7.17,94,100,1.7,IE,1682210832
136,viedma,-40.8135,-62.9967,10.34,69,0,5.15,AR,1682210977
137,thompson,55.7435,-97.8558,2.09,41,75,5.14,CA,1682210977
138,keflavik,64.0049,-22.5624,4.24,100,100,1.54,IS,1682210978
139,kone,-21.0595,164.8658,30.02,59,29,1.3,NC,1682210978
140,luderitz,-26.6481,15.1594,14.99,54,100,3.32,NA,1682210978
141,tazovsky,67.4667,78.7,0.39,99,100,5.07,RU,1682210978
142,mount pearl,47.5166,-52.7813,2.75,97,100,8.75,CA,1682210978
143,nazare,-13.035,-39.0144,22.03,98,67,1.62,BR,1682210978
144,warmbad,-28.45,18.7333,14.9,13,41,1.56,NA,1682210978
145,tralee,52.2704,-9.7026,6.25,93,100,1.42,IE,1682210978
146,weinan,34.5036,109.5089,2.97,98,100,1.82,CN,1682210979
147,gadzhiyevo,69.2551,33.3362,-5.03,84,100,9.85,RU,1682210979
148,island harbour,50.724,-1.2758,11.2,93,100,3.58,GB,1682210979
149,mokopane,-24.1944,29.0097,16.43,59,7,1.61,ZA,1682210980
150,fortaleza,-3.7227,-38.5247,28.07,78,20,2.57,BR,1682210700
151,richards bay,-28.783,32.0377,21.34,81,89,4.51,ZA,1682210980
152,saipan,15.1355,145.701,29.39,100,75,9.26,MP,1682210980
153,ribeirao bonito,-22.0667,-48.1761,18.82,84,69,2.41,BR,1682210980
154,los alamos,35.8881,-106.307,14.41,27,20,4.12,US,1682210980
155,howrah,22.5892,88.3103,24.0,78,100,5.14,IN,1682210981
156,dungarpur,23.8333,73.7167,25.21,24,0,3.39,IN,1682210981
157,constantia,44.1833,28.65,6.5,74,100,2.95,RO,1682210981
158,tura,25.5198,90.2201,23.5,63,100,1.07,IN,1682210981
159,taoudenni,22.6783,-3.9836,28.7,9,77,3.96,ML,1682210981
160,bamboo flat,11.7,92.7167,29.32,70,100,0.34,IN,1682210981
161,inarajan village,13.2736,144.7484,29.66,87,100,7.63,GU,1682210982
162,chur,46.8499,9.5329,12.86,94,100,2.08,CH,1682210982
163,jabor,5.921,169.6434,27.89,81,89,7.55,MH,1682210982
164,lebu,-37.6167,-73.65,11.99,89,0,6.62,CL,1682210869
165,letlhakane,-21.4167,25.5833,20.89,43,89,3.41,BW,1682210982
166,westport,41.1415,-73.3579,15.61,86,100,9.77,US,1682210888
167,sibiti,-3.6819,13.3499,20.32,99,100,1.33,CG,1682210982
168,sona,45.4388,10.8255,15.44,86,0,1.54,IT,1682210982
169,ta`u,-14.2336,-169.5144,27.24,78,41,5.02,AS,1682210983
170,hithadhoo,-0.6,73.0833,28.89,72,100,2.6,MV,1682210983
171,godda,24.8333,87.2167,28.4,37,100,2.7,IN,1682210983
172,invercargill,-46.4,168.35,16.51,63,100,6.41,NZ,1682210983
173,ebon,4.582,168.6964,28.39,77,100,6.58,MH,1682210983
174,happy valley-goose bay,53.3168,-60.3315,3.17,81,20,2.06,CA,1682210728
175,scottburgh,-30.2867,30.7532,17.41,78,15,3.01,ZA,1682210983
176,al kharijah,25.4514,30.5464,23.54,20,11,3.68,EG,1682210983
177,cide,41.8921,33.0044,9.26,77,48,1.6,TR,1682210983
178,ilulissat,69.2167,-51.1,-0.99,86,100,0.0,GL,1682210983
179,bubaque,11.2833,-15.8333,26.26,69,8,9.1,GW,1682210983
180,antofagasta,-23.65,-70.4,18.6,84,0,3.02,CL,1682210764
181,estevan,49.1334,-102.9842,1.19,87,100,3.61,CA,1682210729
182,crane,31.3974,-102.3501,14.58,51,0,16.26,US,1682210984
183,pathein,16.7833,94.7333,29.32,76,5,1.58,MM,1682210984
184,tazacorte,28.629,-17.9293,20.54,88,100,3.6,ES,1682210984
185,as sulayyil,20.4607,45.5779,22.14,66,49,3.8,SA,1682210984
186,krasnokuts'k,50.066,35.1628,6.81,83,18,2.33,UA,1682210984
187,oranjestad,12.524,-70.027,26.97,83,20,3.6,AW,1682210686
188,ilhabela,-23.7781,-45.3581,20.67,87,15,1.61,BR,1682210984
189,arraial do cabo,-22.9661,-42.0278,23.48,72,2,3.54,BR,1682210984
190,akranes,64.3218,-22.0749,4.31,70,19,0.71,IS,1682210984
191,sitka,57.0531,-135.33,10.94,50,100,4.63,US,1682210984
192,taco pozo,-25.6167,-63.2833,18.81,73,100,2.26,AR,1682210984
193,zhalantun,48.0,122.7167,5.7,18,0,7.2,CN,1682210985
194,coquimbo,-29.9533,-71.3436,14.85,94,75,1.03,CL,1682210875
195,fada,9.5667,8.3,23.0,73,13,1.71,NG,1682210985
196,zilair,52.2332,57.4392,3.88,96,24,2.18,RU,1682210985
197,cidreira,-30.1811,-50.2056,19.88,85,39,4.34,BR,1682210985
198,hadibu,12.65,54.0333,27.5,73,8,2.34,YE,1682210985
199,jayapura,-2.5333,140.7,29.66,66,66,1.12,ID,1682210985
200,bikenibeu village,1.3673,173.1241,28.98,79,75,2.57,KI,1682210985
201,port lincoln,-34.7333,135.8667,19.35,68,0,4.38,AU,1682210985
202,jatai,-17.8814,-51.7144,19.13,95,11,1.71,BR,1682210985
203,mazagao,-0.115,-51.2894,28.03,92,100,1.01,BR,1682210986
204,yigo village,13.5361,144.8886,28.74,83,100,8.75,GU,1682210986
205,alaghsas,17.0187,8.0168,26.54,6,8,4.47,NE,1682210986
206,misratah,32.3754,15.0925,16.89,85,0,7.9,LY,1682210986
207,riachao,-7.3619,-46.6172,23.48,70,51,1.06,BR,1682210986
208,nakamura,32.9833,132.9333,19.27,55,16,1.5,JP,1682210986
209,cuddapah,14.4667,78.8167,28.78,59,77,1.76,IN,1682210986
210,togur,58.3631,82.8265,2.71,67,100,5.81,RU,1682210986
211,korla,41.7597,86.1469,9.26,58,100,5.86,CN,1682210986
212,touros,-5.1989,-35.4608,25.0,79,38,5.12,BR,1682210986
213,chardara,41.2547,67.9692,16.26,43,100,2.72,KZ,1682210987
214,belo sur tsiribihina,-19.7,44.55,21.39,93,96,1.41,MG,1682210987
215,tual,-5.6667,132.75,28.24,76,100,3.59,ID,1682210987
216,tromso,69.6496,18.957,-3.99,80,40,4.63,NO,1682210987
217,baise city,23.8997,106.6133,30.38,61,19,2.36,CN,1682210987
218,punaauia,-17.6333,-149.6,29.8,74,75,4.63,PF,1682210987
219,punta arenas,-53.15,-70.9167,10.06,71,20,11.83,CL,1682210872
220,port elizabeth,-33.918,25.5701,14.62,88,20,1.54,ZA,1682210987
221,puerto deseado,-47.7503,-65.8938,14.26,43,78,8.83,AR,1682210904
222,baishishan,43.5833,127.5667,6.4,18,7,6.17,CN,1682210987
223,katabu,-4.9333,122.5167,29.08,65,4,2.24,ID,1682210988
224,baiyin,36.5583,104.2081,3.46,76,100,2.83,CN,1682210988
225,rongelap,11.1635,166.8941,27.15,79,50,9.23,MH,1682210988
226,dhidhdhoo,6.8833,73.1,29.1,75,12,3.7,MV,1682210808
227,khovd,48.0056,91.6419,2.29,24,100,1.58,MN,1682210988
228,qarauyl,48.9451,79.255,4.35,33,31,2.12,KZ,1682210988
229,nova vicosa,-17.8919,-39.3719,23.91,88,96,5.61,BR,1682210988
230,bengbu,32.9408,117.3608,9.24,95,100,5.18,CN,1682210988
